SEED,qZAMS,Mass(1),Mass(2),Mass@ZAMS(1),Mass@ZAMS(2),SemiMajorAxis@ZAMS,MT_Donor_Hist(1),MT_Donor_Hist(2),CE_Event_Counter,Merges_Hubble_Time
2708900,0.9051682001239709,15.516200504519478,26.978972689724866,43.701128508487265,39.55687183541377,0.5857352462778493,2,2,0,1
3481498,0.7051371285821463,14.108590884566405,18.91459062814212,50.1602978797294,35.369888415737506,0.3910107125853732,2,2,0,1
3564176,0.7580714007221314,14.240726740972459,20.32442148830472,47.792264402257445,36.22994881910176,0.48020879945109207,2,2,0,1
3928192,0.8075750535873547,14.710815746091889,22.13395014997725,46.76738802516086,37.768175890559895,0.3305439226689967,2,2,0,1
6912187,0.6532868659299199,13.6053099951395,17.52459752379994,51.36393965644233,33.555387159970735,0.4152801687836076,2,2,0,1
6976959,0.6082893979589941,13.022347549820543,16.487577371386852,50.875151637473635,30.94681536063137,0.4065425129702144,2,2,0,1
7698865,0.5553276787815807,10.970505332113024,15.341812786653893,41.55730517763037,23.07792182071124,4.042186681081761,2,2,0,1
8671554,0.8518168650669453,15.010699425308777,24.277020663116634,45.10373380885433,38.420121135872286,0.3925467036758218,2,2,0,1
